
Surah 1:1,In the name of Allah Most Gracious Most Merciful ,Mi a ca be sunna Sokoe Estu na ni'imau ke yiba to mumini to kafiri emi izheo na Etsu na ada yegun kpe muminizhi ri ke kafirizhi lugwa efo alkiyami na.
Surah 1:2,Praise be to Allah the Cherisher and Sustainer of the worlds;,Yebo kpata ajin tabbata ya Soko Etsu nae kpa alittazhi kpata na.
Surah 1:3,Most Gracious Most Merciful;,Estu na ni'imau ke ke yiba to mumini to kafiri emi izheo na Etsu na ada yegun kpe muminizhi ri ke kafirizhi lugwa efo alkiyami na.
Surah 1:4,Master of the Day of Judgment,Etsu na wun mulki efo egagbaena
Surah 1:5,Thee do we worship and Thine aid we seek,Wyo gbaogi ga yi-ejin bauta yao be wyo gbaogi ma yib -ewa taimako
Surah 1:6,Show us the straight way,(Soko) wu yi ba eko natso yi gboro na
Surah 1:7,The way of those on whom Thou hast bestowed Thy Grace those whose (portion) is not wrath and who go not astray,Eko yan za nazhi wyo la ni'ima wyoe twarya ya na. Ujin yan za nazhi wyo zhe wun zhen wun be yin na'a umajin yan zanazhia gbin eko gboro lugwa na'a.



﻿Surah 10:1 ,    A.L.R. These are the ayats of the Book of Wisdom.,Alif Lam Ra. Wuncinzhi aya yan litafi (Alkuranu) ayio na yi be hikimae na.
Surah 10:2       ,                  Is it a matter of wonderment to men that We have sent Our inspiration to a man from among themselves- that he should warn mankind (of their danger) and give the good news to the Believers that they have before their Lord the lofty rank of truth. (But) say the Unbelievers: "This is indeed an evident sorcerer!",Kashi wun'afe eyan mamaki fe ya zawangizhi na Yi ya'a wahayi jin ya eza bagi miniabo na kede "jin zawangizhi gangba wyo mao ya zanazhia imani jin na labari yangbanfa kede: ade kinigiba wanciko yan dzoshi dan eba Tsociabo na. Kafirizhi cigan: "hakika za na na eyan-maci na'a tu la na uyio.
Surah 10:3      ,                      Verily your Lord is Allah who created the heavens and the earth in six days and is firmly established on the throne (of authority) regulating and governing all things. No intercessor (can plead with Him) except after His leave (hath been obtained). This is Allah your Lord; Him therefore serve ye: will ye not receive admonition,Hakika Tsoci ye uga yi Soko'o Etsu najin alita sanmazhi to kin dan mini eka yan fo gutsun'ayin'o na gancin ucia jin daidai ta eti Alarashio Ucie jin shiri alamarizhi (kendoe ga ba una). Zandondo danbo na'a tangwa wo na'a saide be iziniUyin. Soko wuncin ga dan'onao Wyun ga yi Tsoci ye-yeo. Ebo acin'o efe jin bauta yau. Kashi ye ewo sinsantu woa
Surah 10:4   ,                        To Him will be your return- of all of you. The promise of Allah is true and sure. It is He Who beginneth the process of creation and repeateth it that He may reward with justice those who believe and work righteousness; but those who reject Him will have draughts of boiling fluids and a penalty grievous because they did reject Him.,Eba'u gabo ezhe keba ye dan ba'eni bo alkawali Soko ma gaskiya uyio; Hakika Wyun ga yi Etsu nae ca jin jin alitta nao gancin Ucia kezhe u la'azheban zhin Efo Alkiyami ebo u la egagba'u ya zanazhia imani jin aci lo tun wan gi zhi na be adalinci; zanazhi maajin kafirinci na yi be eyan finci na wona sarauyin na be azaba na tan nae ebo kafirinci nazhi afe jin na.
Surah 10:5  ,                    It is He Who made the sun to be a shining glory and the moon to be a light (of beauty) and measured out stages for her; that ye might know the number of years and the count (of time). Nowise did Allah create this but in truth and righteousness. (Thus) doth He explain His Signs in detail for those who understand.,Wyun' ga la igidi cie ban-nao to etswa nae ya haske na ucia jin be ecin ba zhi ebo yede bae de kpikpe yan lisafi (yandondo). Soko jin wuncin zhi jin'a sai de eti gaskiyao. Umae kpe ayazhi ye kpe ya zanazhi ga yi eza kpikpe zhi na.
Surah 10:6       ,      Verily in the alternation of the night and the day and in all that Allah hath created in the heavens and the earth are signs for those who fear Him.,Hakika mini cice le ba yan yeshi to igidi to yannazhi Soko jin fi sanmazhio to kin bo na ayazhi danbo ya jama'a nazhi gae sundan Soko acie tswa'u na.
Surah 10:7    ,          Those who rest not their hope on their meeting with Us but are pleased and satisfied with the life of the present and those who heed not Our Signs-,Hakika zanazhie sundan yan gun-gun be yi yin'a na acia yeda jin be emawo izhe na yangban'azhi ma'ashi be uyin na to to zanazhia ya ye ke aya Yizhi lugwa na.
Surah 10:8   ,  Their abode is the Fire because of the (evil) they earned.,Za wuncinzhi (kpata) ezhe ke ba'a uga yi enao ebo iri etun (dede) nazhi afe lo na.
Surah 10:9   ,           Those who believe and work righteousness- their Lord will guide them because of their faith: beneath them will flow rivers in gardens of bliss.,Hakika zanazhia imani jin na aci lo tun wangizhi na Tsocia wyun'a bea bawu be imania yin nuwan jijecizhi'afe je fi takoabo fi mini Aljannazhio nazhi yi emi ni'ima na.
Surah 10:10,             (This will be) their cry therein: "Glory to Thee O Allah!" And "Peace" will be their greeting therein! and the close of their cry will be: "Praise be to Allah the Cherisher and Sustainer of the worlds!",Aduwa na afe ba fi miniubo na "Lili kpata ajin tabbata ya wyoe Soko" emi sa'ama miniubo uga yi "SALAMUO". Aduwa yan zobaama uga yi "yebo kpata'a jin tabbata ya Soko Etsu nae kpa alittazhi kpata na.
Surah 10:11,                 If Allah were to hasten for men the ill (they have earned) as they would fain hasten on the good- then would their respite be settled at once. But We leave those who rest not their hope on their meeting with Us in their trespasses wandering in distraction to and fro.,Da aci gan Sokoe din ye din be gwigwo aduwa dede zazhi'i kendoe wyun'e dinye be alheri'i yaana hakika da aga hukunci ba eti ajaliazhi boa ni ebo acin'o Yi ela zanazhie jin kauna yan gun-gun wangi be Yi yin'a na ya fi ragbanzhiazhio aci ga'azhi fi bo.
Surah 10:12    ,                      When trouble toucheth a man He crieth unto Us (in all postures)- lying down on his side or sitting or standing. But when We have solved his trouble he passeth on his way as if he had never cried to Us for a trouble that touched him! thus do the deeds of transgressors seem fair in their eyes!,Kamina egun ga'a to za na wyu'a fe yi Yi ye ci elelebaubo koma edun feubo koma gbaroo. Gancin kamina Yi bea egun'u la'ake yabo yau na ufe jin bojin ke wyoa gangan uyi Yi le lo eba egun na to'ugwa na'a na. Acinga ga Sokoe la nin pa dan etun nazhi eyan nyincizhi elo nao.
Surah 10:13  ,              Generations before you We destroyed when they did wrong: their messengers came to them with clear-signs but they would not believe! thus do We requite those who sin!,Hakika Yi jin al'umma nazhi shiyedzo na hallaka lokacina afe jin zwalunci na Tuci'a zhi ma br ya'a be bayanizhi nazhia tu la na amaade ajin imania. Acinga ga Yie la egagba ya jama'a nazhi yi le fi jinci zhi nao.
Surah 10:14 ,        Then We made you heirs in the land after them to see how ye would behave,Gancin Yicia ye la'afe (khalifazhi) kinigici yan alamari Soko (zhi) dan kin bo zunma yan zanazhi shidzo nao ebo Yi'i cin ye yele be kendoe ye ga'ajin jin nae.
Surah 10:15,                                      But when Our Clear Signs are rehearsed unto them those who rest not their hope on their meeting with Us Say: "Bring us a reading other than this or change this" Say: "It is not for me of my own accord to change it: I follow naught but what is revealed unto me: if I were to disobey my Lord I should myself fear the penalty of a Great Day (to come).",Ama gae gba aya Yi nazhia tula na ya'a za nazhie jin kauna gungun wangi be Yi yin'ana ajin agangan: "La kuranu ndoci beyn najin nana'ana koma u'sangwa "Gangan: U-- yin ya mi yin'a umajin kagbo mi yin'a na mia san'ugwa wo be ti mi yin na'a. Mi mae la mi tu yandondoa sai de natso aga jin wahayiu be yami na. Hakika mie sundan miga'alr Tsoci mi ba na yan azaba Efo na gbota na.
Surah 10:16,                 Say: "If Allah had so willed I should not have rehearsed it to you nor would He have made it known to you. A whole life-time before this have I tarried amongst you: will ye not then understand"Gangan: ",Wun'aba Soko ba da mia gba'u wo ya ye yea da mima'ala kpikpeu wu ye woa hakika mi fedun dan tacin yebo eya nazhi dokun na shidzo be dzo kafi wahayi'u be na. Kashi ye'ela hankali yezhi la tu alamarizhia
Surah 10:17  ,           Who doth more wrong than such as forge a lie against Allah or deny His Signs But never will prosper those who sin.,Ngba zi'i wu'ye gan za nae tswa ganmana ta Soko nao koma ucia aya'uzhi yi ganmana nao Hakika le fi jin ci zhi'atso guria
Surah 10:18    ,                        They serve besides Allah things that hurt them not nor profit them and they say: "These are our intercessors with Allah." Say: "Do ye indeed inform Allah of something He knows not in the heavens or on earth- Glory to Him! and far is He above the partners they ascribe (to Him)!",Acie jin bauta ya yandocizhi ke Soko lugwa yannazhi la egun tsoa woa ama la yandoci anfani jin'a woa na acie gangan: "Nanazhi ga'tangwa yayi eba Soko bo. Gangan: Beke ye ya Soko labari ya yan yannazhi ukpe yea fi mini sanmazhio to kin bo na Lili kpata ajin tabbata yau be elatui ke yannazhie la pau baci na lugwa.
Surah 10:19,                Mankind was but one nation but differed (later). Had it not been for a word that went forth before from thy Lord their differences would have been settled between them.,Zawangizhi (kpata) ma fea saide al'umma nini gancin acia cedozhi le ba kaujin ebo egan na'ashidzo dagan eba Tsoci wyo bo na'a da aga hukunci ba tsakaniabo eti yanazhie ce dozhi leba fi minubo na.
Surah 10:20,               They say: "Why is not a sign sent down to him from his Lord" Say: "The Unseen is only for Allah (to know) then wait ye: I too will wait with you.",Acia jin afe gangan: ki'i la aci cin aya zankpe ndoci be yau dagan eba Tsoci u boa yin'o "Gangan: Hakika de (kpikpe) yanna swo kpata na be Soko yin'udan'o. Ebo acin'o efe tu ye mitso dan mini zanazhie tu ye be ye yin na.
Surah 10:21,                     When We make mankind taste of some mercy after adversity hath touched them behold! they take to plotting against Our Signs! Say: "Swifter to plan is Allah!" Verily Our messengers record all the plots that ye make!,Yi ma ga ema yegun la'adan zawangio da'a emi baci egun na toagwa na kanga wyoa tsun'a afe jin makirinci be aya yi yin. Gangan: "Soko din ye gan eba egagba la ya makirinci jincizhi. Hakika Tuci yizhi danbo nahzie ka makirinci nazhi ye jin na.
Surah 10:22     ,                                   He it is Who enableth you to traverse through land and sea; so that ye even board ships;- they sail with them with a favourable wind and they rejoice thereat; then comes a stormy wind and the waves come to them from all sides and they think they are being overwhelmed: they cry unto Allah sincerely offering (their) duty unto Him saying "If thou dost deliver us from this we shall truly show our gratitude!",Wyun ga yi Etsu nae yaye iko zand ta kinbo nao to eti eduzhio na har da kaminaye ga'afe mini eya nuwanzhio na acie dazan be ye yin ganni be efe managi acia fe fa yangban beuyin gancin dundufeko ndoci cia be tsun eya wuncin egban yan nuwaanzhi ce fe din'a dagan egwa ndondo atso ci ga hakika ya kede (hallaka) a'ama kezheani na gancin acia fe yi Soko ye aci ga adinijin tadzu ya Soko gbaugi (acia fe gangan:) Hakika Soko wyo de ga yi wadzun dagan masiba nanao hakika yi ga'fe dan mini zanazhie jin yebo ya wyo nao.
Surah 10:23   ,                     But when he delivereth them behold! they transgress insolently through the earth in defiance of right! O mankind! your insolence is against your own souls- an enjoyment of the life of the present: in the end to Us is your return and We shall show you the truth of all that ye did.,Gancin kamina U bea wadzun zo na acia fe za nazhie jin zwalunci dan kinbo na uma jin be haki ndondo yin'a. Ya ye zawangizhi! Hakika zwalunci na ye jin na eti tacin yetso ga ye jin gun'o ema edun fe izhema (de'gi) uyio. Yi cia yae labari etun nazhi ye fe lo kpata na.
Surah 10:24     ,                                     The likeness of the life of the present is as the rain which We send down from the skies: by its mingling arises the produce of the earth- which provides food for men and animals: (It grows) till the earth is clad with its golden ornaments and is decked out (in beauty): the people to whom it belongs think they have all powers of disposal over it: There reaches it Our command by night or by day and We make it like a harvest clean-mown as if it had not flourished only the day before! thus do We explain the Signs in detail for those who reflect.,Hakika de kotonci yan edunfe izhe ke nuwan na uyio na Yi duzhin dagan sanmaona gancin yandzo yan kinzhi cia zhinkeba be uyin (eyandzo) na zwangizhie gi to dabbazhi na harda kamina kin ga eyan wangiuzhi wan sungwa wangi na ucia pa nin na gancin zanazhi wun latina cia fe kpaye gan aga wun iko ta eti'ubo ala'ali ma foro yi gae dazan ta eti'ubo yeshii ko igidi yin'o gancin Yi ci gau la'azhe kin na a yandondo'u kuani na ke wyoa gan gan ujin wyun ga she be yangici zhi tsuwoanao. Acinga ga Yia jin Yi kpe aya zhi ye ya zanazhi gae kpa ye nao.
Surah 10:25 ,         But Allah doth call to the Home of Peace: He doth guide whom He pleaseth to a way that is straight.,Soko mae yi ye lo emi yan aminciUmae wu zana gaba Una ba lo eko natso yi gboro na.
Surah 10:26  ,             To those who do right is a goodly (reward)- Yea more (than in measure)! No darkness nor shame shall cover their faces! they are companions of the garden; they will abide therein (for aye)!,Zana zhi gajin bolobolo na egagba yan bolobolo ga'ajin tabbata ya'a be bibe ta etiubo rungba ndondo ma'a lakpea fuska boa egba be zun yesun'y ma'ade aa. Zawun ci zhi gayi zaba Aljannazhio amaa fibo fi tutun yin.
Surah 10:27 ,                         But those who have earned evil will have a reward of like evil: ignominy will cover their (faces): No defender will they have from (the wrath of) Allah: Their faces will be covered as it were with pieces from the depth of the darkness of night: they are companions of the Fire: they will abide therein (for aye)!,Zanazhi ma da cewo etun dedezhi na egagba dede kotonci na'ace na uga a deo zunyesun be egbae ma gaawangi. A de zandondo na'a -- a tswa ke azaba Soko lugwa na'awyoa ye ganko aba bazhiko yan yeshi ba cia kpea fuska'azhio. Zawuncinzhi ga yi zaba enazhio baga bo afi tutun yin'o.
Surah 10:28 ,                One day shall We gather them all together. Then shall We say to those who joined gods (with Us): "To your place! ye and those ye joined as ´partners´ We shall separate them and their "Partners" shall say: "It was not us that ye worshipped!,Efo na ma Yiga'a kua yekan baenio na gancin Yicia gan be zanazhi layan pa Soko baci nae gan: "Egikini dannaebo to ye to zanazhi ye la pa Soko baci na."Gancin Tici gaa gan be dozhi gancin zanazhi afe wun ke Soko lugwa na cia gangan: "Ujin yi ga ye fe jin bauta ya'a."
Surah 10:29  ,       "Enough is Allah for a witness between us and you: we certainly knew nothing of your worship of us!",To Soko dea kun eri tsakani yibo be yeyin. Hakika yikpe yandondo eti bauta na yegan ye fe jin ya yi na'a.
